UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,Grondslag,Grondslaglabel,Grondslaglink
europese werknemersverzekeringsverklaring,http://standaarden.overheid.nl/owms/terms/euWerknVerzVerklaring,X,,,,,,,B9,,,X,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_2009_987_art_54,Artikel 54 Verordening (EG) Nr. 987/2009 van het Europees Parlement en de Raad van 16 september 2009,https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:02009R0987-20180101#tocId66
europese ziekteverzekeringskaart,http://standaarden.overheid.nl/owms/terms/euziekteverzkrt,,,,,,,,F3,,,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_987_2009_art_25,"Verordening (EG) Nr. 987/2009 van het Europees Parlement en de Raad van 16 september 2009 tot vaststelling van de wijze van toepassing van Verordening (EG) nr. 883/2004 betreffende de coördinatie van de socialezekerheidsstelsels, art. 25",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32009R0987&from=NL
evc erkenning,http://standaarden.overheid.nl/owms/terms/evcErkenning,X,,,,,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Stcrt_2016_59145,"Staatscourant 2016, 59145",https://zoek.officielebekendmakingen.nl/stcrt-2016-59145.html
evenementenmelding,http://standaarden.overheid.nl/owms/terms/evenementenmelding,,,,,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_24,Artikel 2.24 Model Algemene plaatselijke verordening,
evenementenvergunning,http://standaarden.overheid.nl/owms/terms/evenementenvergunning,X,X,X,X,X,X,X,N1;D2,X,X,X,,,,http://standaarden.overheid.nl/owms/terms/BPR_art_1_23,Artikel 1.23 Binnenvaartpolitiereglement,https://wetten.overheid.nl/jci1.3:c:BWBR0003628&deel=I&hoofdstuk=1&artikel=1.23
evenementenvergunning,http://standaarden.overheid.nl/owms/terms/evenementenvergunning,X,X,X,X,X,X,X,N1;D2,X,X,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_25,Artikel 2:25 Model Algemene plaatselijke verordening,
examenonderdeel beroepsonderwijs vrijstelling,http://standaarden.overheid.nl/owms/terms/examenondBerOndVrijst,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/Ex_kwal_WEB_art_3b,Artikel 3b Examen- en kwalificatiebesluit WEB,https://wetten.overheid.nl/jci1.3:c:BWBR0027963&hoofdstuk=II&paragraaf=1&artikel=3b
examenvak staatsexamen vo ontheffing,http://standaarden.overheid.nl/owms/terms/examenvakStExVOOnth,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/UWVO_2020_art_4_8,Artikel 4.8 Uitvoeringsbesluit WVO 2020,https://wetten.overheid.nl/jci1.3:c:BWBR0045787&hoofdstuk=4&paragraaf=2&artikel=4.8
examenvak vavo ontheffing,http://standaarden.overheid.nl/owms/terms/examenvakVavoOnth,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/UWVO_2020_art_3_66,Artikel 3.66 Uitvoeringsbesluit WVO 2020,https://wetten.overheid.nl/jci1.3:c:BWBR0045787&hoofdstuk=3&paragraaf=8&artikel=3.66
experiment gebruik meststoffen ontheffing,http://standaarden.overheid.nl/owms/terms/experiment_gebruik_meststoffen_ontheffing,,X,,,,X,,N1,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Bgm_art_8,Artikel 8 Besluit gebruik meststoffen,https://wetten.overheid.nl/jci1.3:c:BWBR0009066&paragraaf=5&artikel=8
expertisecentra onderwijsplan,http://standaarden.overheid.nl/owms/terms/expertisecentra_onderwijsplan,,X,,,,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WEC_art_81,Artikel 81 Wet op de expertisecentra,https://wetten.overheid.nl/jci1.3:c:BWBR0003549&titeldeel=IV&afdeling=2&artikel=81
extra onderwijsactiviteit basisschool vrijstelling,http://standaarden.overheid.nl/owms/terms/extrOnderwActBasisschVrijst,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WPO_art_41,Artikel 41 Wet op het primair onderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0003420&hoofdstuk=I&titeldeel=II&afdeling=1&paragraaf=4&artikel=41
faillissement,http://standaarden.overheid.nl/owms/terms/faillismt,X,,,,X,X,,J7,,,,,,,http://standaarden.overheid.nl/owms/terms/Fw_art_1,Artikel 1 Faillissementswet,https://wetten.overheid.nl/jci1.3:c:BWBR0001860&titeldeel=I&afdeling=Eerste&artikel=1
faunabeheereenheid,http://standaarden.overheid.nl/owms/terms/faunabeheereenheid,,X,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Ob_art_6_1,Artikel 6.1 Omgevingsbesluit,https://wetten.overheid.nl/jci1.3:c:BWBR0041278&hoofdstuk=6&artikel=6.1
faunabeheerplan,http://standaarden.overheid.nl/owms/terms/faunabeheerplan,,X,,,,X,,N1,,X,,,,X,http://standaarden.overheid.nl/owms/terms/Ob_art_6_2,Artikel 6.2 Omgevingsbesluit,https://wetten.overheid.nl/jci1.3:c:BWBR0041278&hoofdstuk=6&artikel=6.2
fietsenregister,http://standaarden.overheid.nl/owms/terms/fietsenregister,X,,,,X,X,,H5,,,,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_70k,Artikel 70k Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=IVA&artikel=70k
financiële hulp,http://standaarden.overheid.nl/owms/terms/financiële_hulp,X,X,X,X,X,X,,,,,X,,,,,,
financiële ondersteuning student bij bijzondere omstandigheden,http://standaarden.overheid.nl/owms/terms/finOnderstStudBijzOmst,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WHW_art_7_51,Artikel 7.51 Wet op het hoger onderwijs en wetenschappelijk onderzoek,https://wetten.overheid.nl/jci1.3:c:BWBR0005682&hoofdstuk=7&titeldeel=3&paragraaf=2a&artikel=7.51
forensenbelasting,http://standaarden.overheid.nl/owms/terms/forensenbelasting,X,,,X,X,,,,X,,,,,X,http://standaarden.overheid.nl/owms/terms/Gemw_art_223,Artikel 223 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&paragraaf=3&artikel=223
frequentiegebruik registratie,http://standaarden.overheid.nl/owms/terms/frequentiegebrReg,X,,,,X,X,X,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Frequentiebesluit_2013_art_5,Artikel 5 Frequentiebesluit 2013,https://wetten.overheid.nl/jci1.3:c:BWBR0032895&hoofdstuk=2&paragraaf=2.2&artikel=5
funderingsherstelsubsidie,http://standaarden.overheid.nl/owms/terms/funderingsherstelsubsidie,,,,X,X,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
fytosanitair exportcertificaat,http://standaarden.overheid.nl/owms/terms/fytsanexpcert,X,,,,,X,X,A4,,,X,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_2016_2031,"Artikel 71 Verordening (EU) 2016/2031 van het Europees Parlement en de Raad van 26 oktober 2016 betreffende beschermende maatregelen tegen plaagorganismen bij planten, tot wijziging van de Verordeningen (EU) nr. 228/2013, (EU) nr. 652/2014 en (EU) nr. 1143/2014 van het Europees Parlement en de Raad en tot intrekking van de Richtlijnen 69/464/EEG, 74/647/EEG, 93/85/EEG, 98/57/EG, 2000/29/EG, 2006/91/EG en 2007/33/EG van de Raad",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32016R2031&from=NL
garantverklaring verblijf in nederland,http://standaarden.overheid.nl/owms/terms/garVerklVerblNL,X,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/VB_art_2_11,Artikel 2.11 Vreemdelingenbesluit 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011825&hoofdstuk=2&afdeling=4&artikel=2.11
gasaansluitingsverzoek,http://standaarden.overheid.nl/owms/terms/gasAanslVerzoek,X,,,,X,X,,H3,,,,,,,http://standaarden.overheid.nl/owms/terms/Gaswet_art_44,Artikel 44 Gaswet,https://wetten.overheid.nl/jci1.3:c:BWBR0011440&hoofdstuk=5&paragraaf=5.3&artikel=44
gastouderbureaus kwaliteitseisen,http://standaarden.overheid.nl/owms/terms/gastoudburkwaleis,X,,,,X,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Besluit_kwal_gastouderbur_enz,"Besluit kwaliteit gastouderbureaus, gastouders en voorzieningen voor gastouderopvang",https://wetten.overheid.nl/jci1.3:c:BWBR0031621
gastouderopvang inrichtingseisen,http://standaarden.overheid.nl/owms/terms/gastoudopvinrseis,X,,,,X,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Reg_kwal_kinderopvang_enz_art_14,Artikel 14 Regeling kwaliteit kinderopvang en peuterspeelzalen 2012,https://wetten.overheid.nl/jci1.3:c:BWBR0031613&paragraaf=3&artikel=14
gaswinning groningen schadevergoeding,http://standaarden.overheid.nl/owms/terms/gaswgrschverg,X,,,,X,X,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Tijd_wet_Gron_art_2,Artikel 2 Tijdelijke wet Groningen,https://wetten.overheid.nl/jci1.3:c:BWBR0043252&hoofdstuk=2&artikel=2
gebiedsverbod,http://standaarden.overheid.nl/owms/terms/gebiedsverbod,,,,X,X,,,,X,,,,,X,http://standaarden.overheid.nl/owms/terms/Gemw_art_172a,Artikel 172a Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=III&hoofdstuk=XI&artikel=172a
geboorteaangifte,http://standaarden.overheid.nl/owms/terms/geboorteaangifte,,,,X,X,,,G1,,X,,,,X,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_19e,Artikel 19e Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=4&afdeling=4&artikel=19e
geboorteakte,http://standaarden.overheid.nl/owms/terms/geboorteakte,,,,X,X,,,G1,,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_19,Artikel 19 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=4&afdeling=4&artikel=19
geboorteakte levenloos kind,http://standaarden.overheid.nl/owms/terms/geboorteakteLevenlsKnd,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_19i,Artikel 19i Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=4&afdeling=4&artikel=19i
geboorteverlof,http://standaarden.overheid.nl/owms/terms/geboorteverlof,X,,,,X,X,,B6,,,,,,,http://standaarden.overheid.nl/owms/terms/Wazo_art_4_2,Artikel 4:2 Wet arbeid en zorg,https://wetten.overheid.nl/jci1.3:c:BWBR0013008&hoofdstuk=4&paragraaf=1&artikel=4:2
gebouw tijdelijkeverhuurvergunning,http://standaarden.overheid.nl/owms/terms/gebtijdverhverg,X,,,,X,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Leegstw_art_15,Artikel 15 Leegstandwet,https://wetten.overheid.nl/jci1.3:c:BWBR0003403&hoofdstuk=V&artikel=15
gebruik gemeentelijke panden,http://standaarden.overheid.nl/owms/terms/gebruik_gemeentelijke_panden,,,,X,X,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_201,Artikel 201 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=4&afdeling=1&artikel=201
gebruiksmelding,http://standaarden.overheid.nl/owms/terms/gebruiksmelding,,,,X,,X,X,,,X,,,X,,http://standaarden.overheid.nl/owms/terms/Bbl_art_6_7,Artikel 6.7 Besluit bouwwerken leefomgeving,https://wetten.overheid.nl/jci1.3:c:BWBR0041297&hoofdstuk=6&afdeling=6.1&paragraaf=6.1.2&artikel=6.7
gebruiksmelding,http://standaarden.overheid.nl/owms/terms/gebruiksmelding,,,,X,,X,X,,,X,,,X,,http://standaarden.overheid.nl/owms/terms/Bes_brvgeb_art_2_1,Artikel 2.1 Besluit brandveilig gebruik en basishulpverlening overige plaatsen,https://wetten.overheid.nl/jci1.3:c:BWBR0040068&hoofdstuk=2&artikel=2.1
gedenkteken openbare weg,http://standaarden.overheid.nl/owms/terms/gedenktekOpenbWeg,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/kst_29398_13,Maatregelen verkeersveiligheid; Brief minister over gedenktekens voor verkeersslachtoffers,https://zoek.officielebekendmakingen.nl/kst-29398-13.html
gedenkteken plaatsingsvergunning,http://standaarden.overheid.nl/owms/terms/gedenkteken_plaatsingsvergunning,,,,X,X,X,X,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Behb_art_19,Artikel 19 Model Beheersverordening begraafplaatsen,
gedoogbeslissing,http://standaarden.overheid.nl/owms/terms/gedoogbeslissing,,X,,X,X,X,,N1;D2,X,X,X,,,,http://standaarden.overheid.nl/owms/terms/Gemw_art_125,Artikel 125 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=III&hoofdstuk=VIII&paragraaf=4&artikel=125
gedoogbeslissing,http://standaarden.overheid.nl/owms/terms/gedoogbeslissing,,X,,X,X,X,,N1;D2,X,X,X,,,,http://standaarden.overheid.nl/owms/terms/PW_art_122,Artikel 122 Provinciewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005645&titeldeel=III&hoofdstuk=VIII&paragraaf=4&artikel=122
gedragscode andere soorten,http://standaarden.overheid.nl/owms/terms/gedrcdanderesrt,X,,,,,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Bal_art_11_59,Artikel 11.59 Besluit activiteiten leefomgeving,https://wetten.overheid.nl/jci1.3:c:BWBR0041330&hoofdstuk=11&afdeling=11.2&paragraaf=11.2.4&artikel=11.59
gedragscode habitatrichtlijn,http://standaarden.overheid.nl/owms/terms/gedrcdhabitatrichtlijn,X,,,,,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Bal_art_11_53,Artikel 11.53 Besluit activiteiten leefomgeving,https://wetten.overheid.nl/jci1.3:c:BWBR0041330&hoofdstuk=11&afdeling=11.2&paragraaf=11.2.3&artikel=11.53
gedragscode houtopstand,http://standaarden.overheid.nl/owms/terms/gedrcdhoutopstand,X,,,,,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Bal_art_11_131,Artikel 11.131 Besluit activiteiten leefomgeving,https://wetten.overheid.nl/jci1.3:c:BWBR0041330&hoofdstuk=11&afdeling=11.3&paragraaf=11.3.2&artikel=11.131
gedragscode natuurbescherming,http://standaarden.overheid.nl/owms/terms/gedrcdnatbes,X,,,,,X,X,,,,,,,,,,
gedragscode vogelrichtlijn,http://standaarden.overheid.nl/owms/terms/gedrcdvogelrichtlijn,X,,,,,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Bal_art_11_45,Artikel 11.45 Besluit activiteiten leefomgeving,https://wetten.overheid.nl/jci1.3:c:BWBR0041330&hoofdstuk=11&afdeling=11.2&paragraaf=11.2.2&artikel=11.45
gedwongen opname psychiatrische instelling klacht,http://standaarden.overheid.nl/owms/terms/gedwOpnPsychInstKlacht,X,,,,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wvggz_art_10_3,Artikel 10:3 Wet verplichte geestelijke gezondheidszorg,https://wetten.overheid.nl/jci1.3:c:BWBR0040635&hoofdstuk=10&paragraaf=2&artikel=10:3
gedwongen opname psychiatrische instelling klacht,http://standaarden.overheid.nl/owms/terms/gedwOpnPsychInstKlacht,X,,,,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wzd_art_55,Artikel 55 Wet zorg en dwang psychogeriatrische en verstandelijk gehandicapte cliënten,https://wetten.overheid.nl/jci1.3:c:BWBR0040632&hoofdstuk=4&paragraaf=4.2&artikel=55
geen privégebruik auto verklaring,http://standaarden.overheid.nl/owms/terms/geenPrivGebrAutoVerkl,X,,,,X,X,,B4,,,,,,,http://standaarden.overheid.nl/owms/terms/LB_art_13bis,Artikel 13bis Wet op de loonbelasting 1964,https://wetten.overheid.nl/jci1.3:c:BWBR0002471&hoofdstuk=II&artikel=13bis
gefokt dier administratie,http://standaarden.overheid.nl/owms/terms/gefoktdieradm,X,,,,X,X,X,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Bal_art_11_103,Artikel 11.103 Besluit activiteiten leefomgeving,https://wetten.overheid.nl/jci1.3:c:BWBR0041330&hoofdstuk=11&afdeling=11.2&paragraaf=11.2.9&artikel=11.103
gehandicaptenparkeerkaart,http://standaarden.overheid.nl/owms/terms/gehandicaptenparkeerkaart,,,,X,X,,,A3,,X,X,,,,http://standaarden.overheid.nl/owms/terms/BABW_art_49,Artikel 49 Besluit administratieve bepalingen inzake het wegverkeer (BABW),https://wetten.overheid.nl/jci1.3:c:BWBR0004826&hoofdstuk=IV&artikel=49
gehandicaptenparkeerkaart bestuurder,http://standaarden.overheid.nl/owms/terms/gehandicaptenparkeerkaart_bestuurder,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/BABW_art_49,Artikel 49 Besluit administratieve bepalingen inzake het wegverkeer (BABW),https://wetten.overheid.nl/jci1.3:c:BWBR0004826&hoofdstuk=IV&artikel=49
gehandicaptenparkeerkaart instellingen,http://standaarden.overheid.nl/owms/terms/gehandicaptenparkeerkaart_instellingen,,,,X,,X,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/BABW_art_49,Artikel 49 Besluit administratieve bepalingen inzake het wegverkeer (BABW),https://wetten.overheid.nl/jci1.3:c:BWBR0004826&hoofdstuk=IV&artikel=49
gehandicaptenparkeerkaart passagier,http://standaarden.overheid.nl/owms/terms/gehandicaptenparkeerkaart_passagier,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/BABW_art_49,Artikel 49 Besluit administratieve bepalingen inzake het wegverkeer (BABW),https://wetten.overheid.nl/jci1.3:c:BWBR0004826&hoofdstuk=IV&artikel=49
gehandicaptenparkeerplaats,http://standaarden.overheid.nl/owms/terms/gehandicaptenparkeerplaats,,,,X,X,,,A3,,X,,,,,http://standaarden.overheid.nl/owms/terms/BABW_art_12,Artikel 12 Besluit administratieve bepalingen inzake het wegverkeer (BABW),https://wetten.overheid.nl/jci1.3:c:BWBR0004826&hoofdstuk=II&paragraaf=4&artikel=12
gehandicaptenparkeerplaats op kenteken,http://standaarden.overheid.nl/owms/terms/gehandicaptenparkeerplaats_op_kenteken,,,,X,X,,,A3,,X,X,,,,http://standaarden.overheid.nl/owms/terms/BABW_art_12,Artikel 12 Besluit administratieve bepalingen inzake het wegverkeer (BABW),https://wetten.overheid.nl/jci1.3:c:BWBR0004826&hoofdstuk=II&paragraaf=4&artikel=12
geloofsbrief,http://standaarden.overheid.nl/owms/terms/geloofsbrief,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/KW_art_V_1,Artikel V1 Kieswet,https://wetten.overheid.nl/jci1.3:c:BWBR0004627&afdeling=IV&hoofdstuk=V&paragraaf=1&artikel=V_1
geluidsbelasting grenswaarde,http://standaarden.overheid.nl/owms/terms/geluidsbelasting_grenswaarde,,X,,,,X,,N1,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Wgh_art_100a,Artikel 110a Wet geluidhinder,https://wetten.overheid.nl/jci1.3:c:BWBR0003227&hoofdstuk=VIIIa&afdeling=1&artikel=110a
geluidsontheffing,http://standaarden.overheid.nl/owms/terms/geluidsontheffing,,X,,X,,X,X,N1,X,,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_4_5b,Artikel 4:5b Model Algemene plaatselijke verordening,
gemeenschappelijke regelingen,http://standaarden.overheid.nl/owms/terms/gemeenschappelijke_regelingen,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/WGR_art_1,Artikel 1 Wet gemeenschappelijke regelingen,https://wetten.overheid.nl/jci1.3:c:BWBR0003740&hoofdstuk=I&paragraaf=1&artikel=1
gemeenschappelijke regelingen geschilbeslechting,http://standaarden.overheid.nl/owms/terms/gemeenschappelijke_regelingen_geschilbeslechting,,X,,,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WGR_art_28,Artikel 28 Wet gemeenschappelijke regelingen,https://wetten.overheid.nl/jci1.3:c:BWBR0003740&hoofdstuk=I&afdeling=2&paragraaf=4&artikel=28
gemeentefinanciën,http://standaarden.overheid.nl/owms/terms/gemeentefinancien,,X,,,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Gemw_art_191,Artikel 191 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XIII&paragraaf=1&artikel=191
gemeentegids,http://standaarden.overheid.nl/owms/terms/gemeentegids,,,,X,X,X,,,X,,,,,,,,
gemeentegrenscorrectie,http://standaarden.overheid.nl/owms/terms/gemeentegrenscorrectie,,X,,,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/ARHI_art_3,Artikel 3 Wet algemene regels herindeling,https://wetten.overheid.nl/jci1.3:c:BWBR0003718&hoofdstuk=II&paragraaf=1&artikel=3
gemeentelijke omgevingsvisie,http://standaarden.overheid.nl/owms/terms/gemomgvisie,,,,X,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Ow_art_3_1,Artikel 3.1 Omgevingswet,https://wetten.overheid.nl/jci1.3:c:BWBR0037885&hoofdstuk=3&afdeling=3.1&artikel=3.1
gemeentelijke onderscheiding voordracht,http://standaarden.overheid.nl/owms/terms/gemeentelijke_onderscheiding_voordracht,,,,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
geneeskundige behandelingsovereenkomst,http://standaarden.overheid.nl/owms/terms/geneeskbehover,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_446,Artikel 446 Boek 7 Burgerlijk Wetboek,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=7&afdeling=5&artikel=446
geneesmiddelen bijwerkingenregistratie,http://standaarden.overheid.nl/owms/terms/genbijwnreg,X,,,,,X,,F2,,,,,,,http://standaarden.overheid.nl/owms/terms/Gnw_art_78,Artikel 78 Geneesmiddelenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0021505&hoofdstuk=8&paragraaf=3&artikel=78
geneesmiddelen-bijwerkingenmelding,http://standaarden.overheid.nl/owms/terms/genbijwnmld,X,,,,,X,X,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Gnw_art_78,Artikel 78 Geneesmiddelenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0021505&hoofdstuk=8&paragraaf=3&artikel=78
geneesmiddelenbereidings- of -groothandelsvergunning,http://standaarden.overheid.nl/owms/terms/genmidbergrhverg,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Gnw_art_18,Artikel 18 Geneesmiddelenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0021505&hoofdstuk=3&paragraaf=1&artikel=18
geneesmiddeleninformatiebank inzage,http://standaarden.overheid.nl/owms/terms/geneesmInfoBankInz,X,,,,X,X,,F1,,,,,,,http://standaarden.overheid.nl/owms/terms/Gnw_art_53,Artikel 53 Geneesmiddelenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0021505&hoofdstuk=4&paragraaf=4&artikel=53
geneesmiddelenrecept,http://standaarden.overheid.nl/owms/terms/geneesmiddelenrecept,X,,,,X,,,F2,,,,,,,http://standaarden.overheid.nl/owms/terms/Richtlijn_2011_24_EU,Artikel 11 Richtlijn 2011/24/EU van het Europees Parlement en de Raad van 9 maart 2011 betreffende de toepassing van de rechten van patiënten bij grensoverschrijdende gezondheidszorg,https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32011L0024&from=NL#d1e1582-45-1
gerechtelijke uitspraak europese waarmerking,http://standaarden.overheid.nl/owms/terms/geruitspreuwaarm,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Uw_Vext_art_2,Artikel 2 Uitvoeringswet verordening Europese executoriale titel,https://wetten.overheid.nl/jci1.3:c:BWBR0018808&artikel=2
gerechtsdeurwaardersregister,http://standaarden.overheid.nl/owms/terms/gerechtsdeurwaardersregister,X,,,,,X,X,,,,,,,X,http://standaarden.overheid.nl/owms/terms/GDW_art_1a,Artikel 1a Gerechtsdeurwaarderswet,https://wetten.overheid.nl/jci1.3:c:BWBR0012197&hoofdstuk=I&artikel=1a
gereedmelding bouwactiviteit,http://standaarden.overheid.nl/owms/terms/gerdmldbwact,,,,X,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Bbl_art_2_21,Artikel 2.21 Besluit bouwwerken leefomgeving,https://wetten.overheid.nl/jci1.3:c:BWBR0041297&hoofdstuk=2&afdeling=2.2a&artikel=2.21
